2025-04-29 16:58:13 | INFO     | 🔴 Job: STARTING | Status: Starting server in /Users/bsampera/Documents/projects/ai-backend
2025-04-29 16:58:15 | INFO     | 🟢 Job: STARTING | Status: SUCCESS
2025-04-29 16:58:36 | INFO     | 🔴 Job: DOCKER | Status: Docker daemon not running: ERROR: Cannot connect to the Docker daemon at unix:///Users/bsampera/.docker/run/docker.sock. Is the docker daemon running?
errors pretty printing info

2025-04-29 16:58:36 | INFO     | 🔴 Job: DOCKER | Status: Docker is not available, skipping container check
2025-04-29 16:58:36 | INFO     | 🔴 Job: DOWN | Status: HTTPConnectionPool(host='127.0.0.1', port=8008): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10f157050>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-29 16:58:36 | INFO     | 🔴 Job: ATTEMPTING_START | Status: Server is down, attempting to start
2025-04-29 16:58:36 | INFO     | 🔴 Job: STARTING | Status: Starting server in /Users/bsampera/Documents/projects/ai-backend
2025-04-29 16:58:38 | INFO     | 🟢 Job: STARTING | Status: SUCCESS
2025-04-29 17:02:48 | INFO     | 🔴 Job: DOCKER | Status: Waiting for Docker daemon to become available...
2025-04-29 17:02:48 | INFO     | 🔴 Job: DOCKER | Status: Docker daemon not running: ERROR: Cannot connect to the Docker daemon at unix:///Users/bsampera/.docker/run/docker.sock. Is the docker daemon running?
errors pretty printing info

2025-04-29 17:02:48 | INFO     | 🔴 Job: DOCKER | Status: Attempt 1/30: Docker daemon not available yet, waiting 10 seconds...
2025-04-29 17:02:58 | INFO     | 🔴 Job: DOCKER | Status: Docker daemon not running: ERROR: Cannot connect to the Docker daemon at unix:///Users/bsampera/.docker/run/docker.sock. Is the docker daemon running?
errors pretty printing info

2025-04-29 17:02:58 | INFO     | 🔴 Job: DOCKER | Status: Attempt 2/30: Docker daemon not available yet, waiting 10 seconds...
2025-04-29 17:03:08 | INFO     | 🔴 Job: DOCKER | Status: Docker daemon is now available after 3 attempts
2025-04-29 17:03:08 | INFO     | 🔴 Job: DOCKER | Status: Container exists but not running, attempting to start
2025-04-29 17:03:11 | INFO     | 🔴 Job: DOCKER | Status: Container started successfully
